Date/Time,Open,High,Low,Close,Volume,Open Interest
2020-06-26,46.8,47.15,46.7,46.85,602880,0
2020-06-27,,,,,0,0
2020-06-28,,,,,0,0
2020-06-29,46.6,46.6,45.85,46.05,1281220,0
2020-06-30,46.15,46.4,45.4,45.65,1594210,0
2020-07-01,46.0,46.3,45.8,46.2,866660,0
2020-07-02,46.3,46.3,45.95,46.15,539160,0
2020-07-03,46.5,46.5,46.1,46.25,529760,0
2020-07-04,,,,,0,0
2020-07-05,,,,,0,0
2020-07-06,46.5,46.95,46.3,46.8,1089910,0
2020-07-07,47.0,47.9,47.0,47.45,2739150,0
2020-07-08,47.3,47.9,47.3,47.7,1472610,0
2020-07-09,47.9,48.4,47.8,48.35,2298900,0
2020-07-10,48.1,48.2,47.5,47.8,1164310,0
2020-07-11,,,,,0,0
2020-07-12,,,,,0,0
2020-07-13,48.0,48.95,47.75,48.65,2662490,0
